feature,feature_name,coefficient,target,score_col
rsi_14,RSI14,0.03779011524045877,next_20d_return,ridge_ml_next_20d_return
cashflow_ocfps,经营现金流,0.03520067132203965,next_20d_return,ridge_ml_next_20d_return
low_leverage,低杠杆,0.03330126603129666,next_20d_return,ridge_ml_next_20d_return
bp,估值BP,0.03123013359797311,next_20d_return,ridge_ml_next_20d_return
dividend_yield,股息率,0.02353573499643411,next_20d_return,ridge_ml_next_20d_return
boll_pos_20,布林带位置,0.023493722018717595,next_20d_return,ridge_ml_next_20d_return
growth_sales_yoy,收入成长,0.017546806110730766,next_20d_return,ridge_ml_next_20d_return
neg_atr_14_pct,低ATR波动,0.01675441736454241,next_20d_return,ridge_ml_next_20d_return
ma5_ma20,均线斜率5/20,0.016471871450022695,next_20d_return,ridge_ml_next_20d_return
quality_roe,ROE质量,0.012464402734474501,next_20d_return,ridge_ml_next_20d_return
ep_ttm,估值EP(TTM),0.01139290792624888,next_20d_return,ridge_ml_next_20d_return
reversal_5,5日反转,0.008403632283654981,next_20d_return,ridge_ml_next_20d_return
reversal_20,20日反转,0.008065768641054254,next_20d_return,ridge_ml_next_20d_return
neg_volatility_20,20日低波动,0.002572801778691932,next_20d_return,ridge_ml_next_20d_return
growth_profit_yoy,利润成长,-0.007210683673998831,next_20d_return,ridge_ml_next_20d_return
relative_ret_20,相对沪深300强度20日,-0.008065768641004148,next_20d_return,ridge_ml_next_20d_return
momentum_20,20日动量,-0.00806576864129198,next_20d_return,ridge_ml_next_20d_return
reversal_1,1日反转,-0.008120244697562635,next_20d_return,ridge_ml_next_20d_return
neg_volatility_60,60日低波动,-0.008715005212140218,next_20d_return,ridge_ml_next_20d_return
bias_5,5日乖离率,-0.008847305514127993,next_20d_return,ridge_ml_next_20d_return
range_position_20,20日价格区间位置,-0.013246465849698534,next_20d_return,ridge_ml_next_20d_return
bias_20,20日乖离率,-0.018723395445449313,next_20d_return,ridge_ml_next_20d_return
momentum_120_20,中长期动量剔除近端,-0.019072224821872936,next_20d_return,ridge_ml_next_20d_return
quality_roa,ROA质量,-0.019298747525021625,next_20d_return,ridge_ml_next_20d_return
momentum_120,120日动量,-0.01987042015444844,next_20d_return,ridge_ml_next_20d_return
relative_ret_60,相对沪深300强度60日,-0.023676323269572606,next_20d_return,ridge_ml_next_20d_return
momentum_60,60日动量,-0.023676323269618525,next_20d_return,ridge_ml_next_20d_return
bias_60,60日乖离率,-0.025130273517792324,next_20d_return,ridge_ml_next_20d_return
breakout_20,20日突破强度,-0.028820063966954544,next_20d_return,ridge_ml_next_20d_return
neg_amihud_20,低冲击成本,-0.03231370747046629,next_20d_return,ridge_ml_next_20d_return
amount_5_20,短期成交额放大,-0.19755121118076444,next_20d_return,ridge_ml_next_20d_return
